Country,GUE/NGL,S&D,ALDE,Greens,EPP,ECR,EFD,EAF
Italy,0,3,4,1,8,1,2,0
Czech Republic,1,1,0,0,2,1,0,0
Lithuania,0,1,2,0,1,1,1,0
Luxembourg,0,1,1,1,1,0,0,0
France,1,1,2,1,2,0,1,1
Slovak Republic,0,1,1,0,3,0,1,0
Ireland,2,1,1,0,0,0,0,0
Wales,0,0,0,1,0,0,0,0
Scotland,0,0,0,1,0,0,0,0
Slovenia,0,1,1,0,2,0,0,0
Germany,1,1,1,1,2,0,0,1
Denmark,1,1,2,1,1,0,1,0
Belgium,0,2,2,3,3,1,0,1
Spain,1,1,2,5,2,0,0,0
Netherlands,1,1,2,0,1,1,1,0
Northern Ireland,0,0,0,0,0,1,0,0
Country,0,0,0,0,0,0,0,0
Poland,0,2,0,0,2,2,1,0
Finland,0,1,2,1,2,0,1,0
Sweden,1,1,2,2,2,0,0,1
Latvia,1,0,1,0,1,1,0,0
Croatia,1,1,0,0,1,1,0,0
Malta,0,1,0,0,1,0,0,0
Bulgaria,0,1,2,0,3,0,0,0
Romania,0,1,1,0,2,0,0,0
England,0,0,0,0,0,0,1,0
Portugal,2,1,0,0,2,0,0,0
Estonia,0,1,2,0,1,0,0,0
Austria,0,1,1,1,1,0,0,1
UK,0,1,1,1,0,1,0,0
Greece,2,2,1,1,1,0,1,0
Hungary,0,1,1,0,2,1,0,0
Cyprus,1,2,0,0,1,0,0,0
